Time,Marketing_Spend,R&D_Spend,Customer_Satisfaction,Employee_Count,Region,Sales
31,68522.78184508938,31731.6687166558,5.143913381566695,153,East,26922.23380973548
32,49865.02775262066,30364.57471923051,8.775686278368095,88,South,24758.874871758722
33,39422.890710440995,24787.197219153462,8.101547756767323,183,East,22402.40135571173
34,58225.44912103189,47151.55271460261,8.520398840496117,116,East,4569.327672520238
35,37791.563500289776,35071.35217854409,6.064820807544553,184,East,23683.65852149826
36,52088.63595004755,13798.859306739143,5.681857377933849,91,West,19863.364497192382
37,30403.298761202244,31491.63451815542,5.072723328339411,64,West,10903.776445569612
38,36718.139511015695,24705.708281852894,6.752937794032984,160,North,29194.544128843772
39,51968.612358691236,36819.46667836979,7.949588434273165,82,North,8398.599027670678
40,57384.665799954106,23659.834092538396,6.961220225498661,87,South,9217.826105273229
41,51713.68281189971,29082.108468264807,7.1873746101186455,146,West,-7417.730614215565
42,48843.517176117595,34039.898231843654,9.520793472468743,82,South,25794.006207945393
43,46988.96304410711,36926.04155336097,6.741277335116502,135,North,19617.236738182957
44,35214.780096325725,20397.62874355379,7.5699474457990545,115,South,-1477.7357393735947
45,42801.557916052916,27323.99011327241,8.918265063705714,59,North,-3185.9429161954704
46,45393.612290402125,26200.43751071235,6.982713911606351,54,West,3558.1652548337006
47,60571.222262189156,24773.366139410304,8.110433501139367,172,East,27813.06279561278
48,53436.182895684615,44123.63392224877,9.311818543733725,123,West,15919.369996342288
49,32369.59844637266,33239.853687687646,9.747603118288211,146,South,11291.713500170496
50,53240.83969394795,19912.92836531964,5.7353674046451895,167,South,6751.229912527737
51,46149.17719583683,37342.89557643821,9.632938125807472,87,West,6440.072502652223
52,43230.779996940415,46977.249576101065,7.460581465397691,190,West,762.3471414827363
53,56116.76288840868,38259.72208440918,6.291221941494792,96,North,2409.725803099671
54,60309.99522495951,17845.040272367893,7.295678781191306,158,South,7437.649001589052
55,59312.80119116198,26126.12741706999,9.900162876427386,64,South,23082.691111157426
56,41607.824767773614,40135.28919349298,7.4630904699643486,185,West,17924.231605013934
57,46907.87624148785,24338.644275049755,6.6437580514375405,54,East,3694.3839991739387
58,53312.63431403564,33550.55542516983,8.167004271583629,96,South,39203.25386096202
59,59755.45127122359,36197.072427434694,6.200728093890966,117,East,8887.889182096293
60,45208.2576215471,22584.55622737534,5.379316640543319,125,West,25786.212776062825
61,48143.41023336183,29523.797151505598,5.644398609553246,179,West,33616.934511310035
62,38936.65025993972,4069.861279447421,5.640229194788862,144,North,-1179.812333003556
63,38037.93375919329,21804.898869325683,5.759513467561472,164,South,16874.807424744657
64,58125.25822394198,27979.454788854717,5.694135863247051,85,East,7933.19332678813
65,63562.40028570823,20017.734544281204,8.204373724016072,75,North,9108.157806179483
66,49279.89878419666,43059.29043145308,5.909400421995724,92,South,19326.143254376264
67,60035.32897892024,18558.868976314938,6.728336416619316,76,North,7257.810680832737
68,53616.36025047634,26479.64410642413,9.483942049530059,118,West,13363.295319477129
69,43548.80245394876,31045.92461828873,7.3698082013143615,197,South,18211.98908176804
70,53613.95605508414,41530.186312528924,8.337788692605136,60,North,10994.259840418676
71,65380.365664659694,18513.102790564484,5.861599356008149,123,North,3446.5049961902205
72,49641.73960890048,39305.31001723968,5.961445094043354,153,East,24735.339027391303
73,65646.43655814006,30081.864488156698,5.204343081332395,87,North,23567.965863378704
74,23802.548959102558,22147.930791616393,5.844675315360823,183,South,20047.40109282559
75,58219.02504375224,33696.82779410617,6.392951695159793,72,South,9567.091020510408
76,50870.47068238171,31592.47756458776,5.885052421383734,96,East,6615.538212318825
77,47009.92649534132,25198.26498272964,5.443512668785278,139,South,7993.657048816357
78,50917.607765355024,30558.416679920152,5.603179355503004,95,West,36880.39981684189
79,30124.31085399107,26917.491225105918,7.303893840163629,156,South,26494.77402674289
80,47803.28112162488,30908.138762009985,6.0316685920289625,189,South,9919.943213920873
81,53571.125715117465,35297.045396168374,6.8213493052403775,190,North,21170.083970101532
82,64778.94044741516,42688.13452916282,7.517086354274285,153,North,15413.53775705215
83,44817.29781726353,20097.47600938521,8.451974143146826,160,South,24685.59409768183
84,41915.06397106812,47064.26699725013,5.196560699205495,153,East,21370.08229585914
85,44982.429564154634,14383.297603819985,8.997051994545213,109,North,27513.944644280706
86,59154.02117702074,28785.719239715334,8.139501947454539,149,East,10313.669785104876
87,53287.51109659684,34706.53765187661,5.4087951597443595,117,South,15478.844719545838
88,44702.39796232961,32247.93494188026,9.367893120533886,182,South,3737.9572377082113
89,55132.67433113356,25018.40384143525,9.604362002659066,169,West,8436.818086859019
90,50970.7754934804,28335.021997141797,5.305389799274318,86,North,21335.279844519584
91,59686.44990532889,26055.99252272934,6.384388240736019,121,South,6096.688098577784
92,42979.469061226475,25285.08194444631,9.031006398965307,176,West,11899.649639269202
93,46723.37853402232,36796.8167761682,8.741298451918292,155,North,19381.357351063736
94,46078.91846867842,32856.12388772038,5.922605096781886,141,South,22749.05586062603
95,35364.85051867881,24456.723237914768,6.046746616683551,80,South,1586.774376227184
96,52961.20277064576,37196.799003466,6.85236051395691,171,North,-16171.375692714118
97,52610.55272179889,32458.396167012874,7.422614925955107,186,North,11098.55649840233
98,50051.13456642461,36502.89695071168,8.09127385765148,100,North,28244.686928358184
99,47654.12866624853,35037.0307353889,6.8445681978488615,78,South,17133.194776729208
100,35846.29257949586,23368.039912623422,7.31267358066574,89,South,27136.314519096406
101,45793.54677234641,25518.551678424243,8.737354690668782,90,West,4516.491690588407
102,46572.85483473231,35978.348840986095,5.183416014452989,60,East,-5268.282003568698
103,41977.22730778381,34882.96212346772,6.262184721720104,50,North,16113.248204210893
104,48387.14288333991,29832.787248286815,8.566747929422762,95,South,18547.444639055422
105,54040.508568145386,30938.619066470255,9.476034188435996,150,South,23121.356306928505
106,68861.8590121053,40221.319166307396,7.55838721057833,198,North,30749.46757255744
107,51745.77812831839,25267.42888931336,7.660567426326579,139,East,21655.270657261313
108,52575.50390722764,34376.7790493603,5.53586005669888,159,North,20676.359515872584
109,49255.54084233833,28382.458780528847,7.237061834117274,106,East,22508.82736923808
110,30812.287847009586,28258.55037418224,7.663086332275116,50,South,17267.50067925124
111,49734.86124550783,38790.21481589752,6.212352518173648,112,East,23539.912729644944
112,50602.30209941026,36603.33079190424,6.346216154746904,104,West,24753.61641026626
113,74632.42112485286,36508.077088005106,6.886420815523113,164,South,34483.847985566535
114,48076.39035218878,40443.83045723463,5.100355988888632,192,West,11344.81326765643
115,53015.47342333612,30168.03073306207,6.610395827915891,198,North,24341.67676094867
116,49652.88230294757,35455.623770359714,6.057240034982723,102,North,10503.790354238452
117,38313.21962380468,27517.86594725235,6.637486760889573,186,North,9959.961651466663
118,61428.228145150206,32593.330819907536,5.598810659096256,106,East,7438.3364986958295
119,57519.33032686774,28958.855565058522,9.452636403699476,166,South,25871.730459341197
120,57910.31947043047,30775.967719941746,7.967962267770243,84,North,19590.17962604572
121,40906.12545205261,34761.25620349531,8.395511595722448,112,North,20678.71459229378
122,64027.94310936099,23454.23453413222,8.945856193036692,74,South,13653.464477741769
123,35981.489372077194,46739.09820548368,7.492210994645286,139,North,17317.79102747699
124,55868.570938002704,21951.860948002384,5.434601440437119,124,West,22705.427065157797
125,71904.5562580998,20286.49109769814,7.6855327090927394,87,South,626.3790958546142
126,40094.63674869311,39264.886988000544,7.934205590104395,179,South,19912.35865397798
127,44337.02270397228,36333.30155170349,8.72719737092165,184,South,21690.238806899542
128,50996.51365087641,34992.95853641724,7.158297731148398,140,West,24780.989724052466
129,44965.243458838006,35026.76407411424,5.637901513977819,66,South,-1715.1699448734853
130,34493.36568933867,29902.025817224683,6.418879528993622,177,West,32497.012386258022
131,50685.62974806027,22821.965028113347,6.815411481993175,157,South,19513.799867044087
132,39376.962862738954,30606.43646554981,8.229586206658006,74,East,17088.66328208342
133,54735.924306351815,24582.706307903107,7.85389152334456,137,North,13617.012111513459
134,40805.75765766197,37800.95786734201,6.780483629489231,78,East,18826.966219784408
135,65499.344050175394,28823.540947982892,9.932576243964899,112,North,19496.796737242457
136,42167.46707663763,23396.022425659907,8.028874096784435,199,West,32457.272893684396
137,46779.384837943246,27428.913266776053,6.186133958679973,163,East,2615.2342695648294
138,58135.1721736967,33303.451634205,5.508912363102018,98,South,15488.881097981117
139,37691.35683566045,25490.2035775682,5.76429569592166,130,North,18621.779560449388
140,52274.599346041294,23422.23683546855,6.22978864192254,133,North,13809.71577719733
141,63071.42754282428,31949.4976919353,5.803406866297777,154,East,12938.090665698346
142,33925.167654387726,31959.732568869782,5.932835120256529,197,West,14469.061013811057
143,51846.33858532304,25944.454597030963,6.4254758434692345,167,East,19374.055718471365
144,52598.82794248423,26231.693555053418,5.866867976473774,135,West,-2591.8171089823154
145,57818.228717773105,31856.39949886109,9.483827123132127,112,West,28002.397867441177
146,37630.49289121918,18415.325268021406,5.401168728308211,153,North,10307.529525039114
147,36795.433869157234,18740.28980498756,7.622556947851273,98,East,15834.609970435016
148,55219.415656168974,24252.446229980513,7.051984134948308,120,East,19659.356815975156
149,52969.84673233186,28292.422786305222,9.911893084543031,50,West,10121.405764295894
150,52504.92850345877,32487.260524784037,5.560194510840262,190,East,16824.625396732175
151,53464.48209496976,41802.849735596414,6.989277995228709,172,South,-1370.4596351596447
152,43199.75278421509,36861.276985616154,9.847352166376844,111,South,25552.416660644652
153,52322.53697161003,28720.49176029258,9.327535629469901,81,East,27132.741864364725
154,52930.72473298681,29847.87033677849,9.085360354746399,78,East,-1011.9100652183079
155,42856.48581973632,21979.76508289753,6.289514135224699,98,West,9498.237753538457
156,68657.74511144757,29851.89491206088,5.85443793695033,79,South,1147.610806361914
157,54738.329209117874,27690.730888638893,8.343216099622154,193,South,19236.06797977198
158,38086.965027973514,32581.748482704716,9.646879945637929,68,North,22034.17434844762
159,56565.536086338296,23382.152451581416,7.78381446506965,67,West,23970.989474636874
160,40253.183297726784,34154.77211392938,7.858063447349499,50,North,24211.365836944937
161,57870.84603742452,42261.91130402062,6.399895468301421,127,South,29438.024895841147
162,61585.95579007404,29129.91881234514,8.847464665959684,164,West,18160.67267737734
163,41793.1768164829,33213.69377679153,5.935218742787617,162,East,5233.770341416284
164,59633.76129244322,35521.1519336889,6.618396182021218,163,West,17073.478188649922
165,54127.80926936498,26790.23622491331,7.127182193082085,112,East,22028.676673639846
166,58220.6015999449,31792.739854483334,7.538051893422275,181,East,7598.060343846
167,68967.92982653948,30100.73920625436,6.212048662075401,178,West,35375.15756580703
168,47546.11883997129,30781.408788390654,5.574184123696018,57,East,20228.356528550008
169,42462.6383564251,23815.921729156267,8.053100212208163,104,North,13600.411714026564
170,41104.85570374477,30196.08139407154,6.443152766201279,152,South,9484.510132060805
171,41841.89715034562,33983.9863299636,7.906191107113061,180,East,12908.175771899363
172,49228.98290585896,41609.148862360336,5.771813576371012,81,North,13781.309496477734
173,53411.519748166436,37674.166608681655,7.405700509274087,59,East,11328.360270157671
174,52766.90799330019,47225.459660092456,7.662947162757929,159,South,28645.41482511896
175,58271.83249036024,23861.219496895603,5.259117684112135,173,North,13526.069285607122
176,50130.01891877907,36978.56509376543,6.6830213909696035,136,South,21652.597206648643
177,64535.34077157317,31466.736045906815,5.672073384694871,104,South,14108.240255186302
178,47353.43166762044,47518.423465741376,5.3168748523638385,81,North,15383.258397011607
179,77201.69166589619,23533.613717158787,9.949801161949726,184,North,20643.31288413651
180,56256.67347765006,23282.22526255379,6.611769224873615,142,North,23737.658334352436
181,41428.42443583717,25204.858836447824,9.049372229273175,57,West,21538.055774700868
182,39291.075019388874,13008.834205521543,6.273203273818819,114,North,18534.401558981463
183,54824.72415243185,25793.95982655391,8.407513611119645,106,North,22749.46464350858
184,47765.372146741494,23926.938707570414,8.801139299448433,116,North,7785.874571114682
185,57140.00494092092,31203.15029180966,7.978193703039222,121,North,20482.346038520143
186,54732.376245735446,32734.047806217277,7.357880942750792,103,East,28171.21510164206
187,49271.71087343127,45009.36671372709,7.059204570736343,116,West,21094.39967728038
188,41532.06281931595,37603.390705488404,6.744341332714976,100,South,4226.550538637033
189,34851.52775314135,25384.770754700774,9.64764572123913,146,North,18605.584857514958
190,45534.85047932979,22812.682629213137,9.153097038938645,141,East,22458.650920385324
191,58563.98794323472,33935.35337205204,9.825134553332562,57,East,8461.759503240422
192,52140.93744130204,19438.134343834863,5.6214861174277235,84,East,-1092.444321838675
193,37542.61221288012,44651.670126834826,8.654337376018223,145,South,15584.613283973202
194,51731.80925851182,39435.520965770294,9.691702284105189,137,North,12385.716203741746
195,53853.17379728837,26246.594783162363,5.906165330828301,127,West,15054.79981231502
196,41161.42563798867,16294.92376727298,5.3324813368338875,81,West,-4396.260399591261
197,51537.25105945528,40830.978993323304,8.705603246450295,169,East,26089.033283989767
198,50582.08718446,29083.681237979057,7.8723655658995595,95,South,9172.109137483763
199,38570.29702169377,39902.530495787694,9.20914388379136,193,South,31556.5540463463
