program_id,milestones_missed,burn_rate,stakeholder_count,at_risk
89,58,0.36,35.0,0
90,55,0.206,471.82,1
91,53,0.034,55.98,0
92,21,0.435,392.25,1
93,56,0.287,467.29,1
94,28,0.302,425.92,1
95,40,0.414,303.24,1
96,22,0.341,10.73,0
97,20,0.341,396.98,1
98,48,0.124,436.0,1
99,2,0.256,285.97,0
100,26,0.277,296.66,1
101,32,0.15,269.84,0
102,54,0.424,265.65,1
103,4,0.156,11.87,0
104,12,0.298,189.59,0
105,30,0.205,44.62,0
106,25,0.184,56.12,0
107,39,0.27,413.71,1
108,25,0.318,278.77,0
109,28,0.048,494.74,1
110,38,0.191,399.83,1
111,35,0.211,104.23,0
112,30,0.496,171.93,0
113,15,0.21,25.93,0
114,16,0.298,236.09,0
115,44,0.221,193.2,0
116,51,0.335,489.62,1
117,32,0.241,75.02,0
118,31,0.135,158.41,0
119,41,0.492,237.76,0
120,14,0.137,128.4,0
121,41,0.263,489.54,1
122,51,0.283,466.86,1
123,14,0.329,370.88,1
124,59,0.387,119.49,0
125,16,0.273,373.07,1
126,2,0.439,196.59,0
127,40,0.36,210.92,0
128,12,0.094,445.3,1
129,31,0.226,244.72,0
130,33,0.106,361.16,1
131,58,0.15,199.34,0
132,23,0.302,50.54,0
133,23,0.014,125.14,0
134,52,0.36,155.92,0
135,24,0.369,355.45,1
136,25,0.1,272.34,0
137,33,0.195,289.69,1
138,30,0.338,361.33,1
139,35,0.281,49.59,0
140,29,0.384,177.53,0
141,4,0.377,376.69,1
142,52,0.453,198.83,0
143,22,0.11,345.9,1
144,26,0.379,33.68,0
145,24,0.391,196.02,0
146,35,0.158,108.09,0
147,21,0.058,16.09,0
148,5,0.224,241.43,0
149,3,0.114,356.98,1
150,45,0.458,353.14,1
151,51,0.345,49.16,0
152,5,0.306,158.52,0
153,19,0.089,411.88,1
154,2,0.031,57.56,0
155,45,0.031,214.0,0
156,39,0.391,94.67,0
157,25,0.059,177.29,0
158,6,0.024,64.18,0
159,51,0.409,313.0,1
160,41,0.105,457.39,1
161,30,0.262,243.0,0
162,21,0.112,294.71,1
163,26,0.364,293.01,1
164,51,0.212,472.0,1
165,23,0.199,330.97,1
166,5,0.376,439.12,1
167,39,0.333,100.56,0
168,12,0.385,34.35,0
169,43,0.292,201.58,0
170,29,0.246,236.53,0
171,5,0.293,29.64,0
172,48,0.353,394.9,1
173,56,0.072,397.1,1
174,4,0.115,382.41,1
175,52,0.015,96.54,0
176,59,0.122,62.07,0
177,7,0.184,459.74,1
178,35,0.499,321.19,1
179,23,0.473,266.82,0
180,25,0.26,302.03,1
181,37,0.33,369.24,1
182,38,0.427,345.75,1
183,27,0.273,97.96,0
184,57,0.416,215.88,0
185,53,0.482,228.98,0
186,13,0.361,324.63,1
187,48,0.097,422.06,1
188,10,0.347,72.63,0
189,4,0.011,218.76,0
190,19,0.304,186.31,0
191,27,0.381,460.27,1
192,4,0.455,381.47,1
193,1,0.133,167.03,0
194,18,0.443,474.78,1
195,15,0.043,36.28,0
196,31,0.353,232.35,0
197,43,0.386,496.21,1
198,10,0.455,444.84,1
199,29,0.064,22.68,0
200,57,0.001,240.1,0
201,46,0.21,179.47,0
202,53,0.15,357.7,1
203,4,0.456,332.51,1
204,20,0.438,267.68,0
205,37,0.121,70.83,0
206,56,0.179,330.64,1
207,7,0.076,401.33,1
208,8,0.082,374.11,1
209,25,0.395,359.61,1
210,20,0.401,486.73,1
211,56,0.446,229.7,0
212,50,0.384,77.98,0
213,33,0.187,50.14,0
214,44,0.365,271.55,1
215,55,0.176,265.51,1
216,5,0.434,253.45,0
217,4,0.036,231.57,0
218,11,0.074,203.48,0
219,37,0.372,77.28,0
220,33,0.285,173.7,0
221,47,0.037,25.63,0
222,50,0.266,429.52,1
223,15,0.077,370.59,1
224,29,0.136,238.96,0
225,53,0.451,43.73,0
226,36,0.156,458.27,1
227,52,0.323,368.79,1
228,2,0.27,284.55,0
229,11,0.182,429.72,1
230,13,0.163,86.26,0
231,26,0.3,224.46,0
232,36,0.023,255.45,0
233,16,0.321,172.61,0
234,8,0.303,417.7,1
235,49,0.348,95.52,0
236,7,0.093,59.33,0
237,49,0.342,45.92,0
238,7,0.097,141.76,0
239,35,0.401,374.23,1
240,39,0.406,273.03,0
241,39,0.14,459.03,1
242,59,0.306,463.03,1
243,40,0.07,135.19,0
244,42,0.269,132.91,0
245,10,0.432,199.74,0
246,12,0.208,343.34,1
247,15,0.35,305.46,1
248,41,0.096,421.02,1
249,2,0.347,147.12,0
250,33,0.287,167.45,0
251,9,0.471,195.8,0
252,6,0.303,51.91,0
253,48,0.146,430.38,1
254,16,0.245,215.7,0
255,2,0.211,394.5,1
256,5,0.354,341.97,1
257,23,0.328,291.56,0
258,14,0.359,164.56,0
259,12,0.054,147.18,0
260,21,0.428,263.27,0
261,45,0.426,242.43,0
262,23,0.366,228.69,0
263,53,0.306,287.65,1
264,3,0.167,375.78,1
265,58,0.393,294.12,1
266,18,0.464,231.27,0
267,17,0.216,353.4,1
268,12,0.393,20.77,0
269,14,0.222,167.07,0
270,10,0.29,91.63,0
271,6,0.036,39.04,0
272,10,0.03,165.48,0
273,49,0.193,302.29,1
274,42,0.232,293.22,1
275,46,0.374,313.59,1
276,28,0.442,478.8,1
277,34,0.024,496.52,1
278,30,0.344,396.05,1
279,50,0.481,445.4,1
280,6,0.459,91.86,0
281,26,0.214,234.44,0
282,15,0.13,160.72,0
283,1,0.057,266.02,0
284,3,0.377,324.82,1
285,56,0.4,54.92,0
286,9,0.076,460.42,1
287,51,0.171,187.19,0
288,18,0.481,344.24,1
289,37,0.198,171.04,0
290,21,0.219,403.67,1
291,52,0.269,41.34,0
292,31,0.004,451.11,1
293,19,0.426,459.8,1
294,49,0.286,110.19,0
295,10,0.457,133.02,0
296,1,0.146,92.06,0
297,18,0.147,113.43,0
298,1,0.389,270.92,0
299,11,0.212,333.48,1
300,36,0.377,446.38,1
301,39,0.295,16.23,0
302,20,0.275,411.83,1
303,48,0.047,241.48,0
304,45,0.311,126.72,0
305,47,0.117,195.02,0
306,28,0.372,79.56,0
307,57,0.235,94.24,0
308,13,0.452,56.32,0
309,14,0.417,429.43,1
310,44,0.1,311.34,1
311,17,0.12,221.1,0
312,5,0.395,83.3,0
313,24,0.408,341.3,1
314,27,0.219,287.93,1
315,2,0.157,326.64,1
316,52,0.131,138.64,0
317,57,0.404,181.82,0
318,56,0.024,339.49,1
319,35,0.172,289.12,1
320,13,0.313,270.34,0
321,21,0.227,450.32,1
322,36,0.209,248.0,0
323,48,0.197,54.72,0
324,26,0.205,122.56,0
325,16,0.091,374.11,1
326,47,0.247,258.58,0
327,56,0.452,325.06,1
328,11,0.42,10.17,0
329,50,0.166,289.64,1
330,43,0.242,106.46,0
331,46,0.2,275.13,1
332,32,0.436,163.32,0
333,17,0.055,412.33,1
334,49,0.145,491.24,1
335,31,0.039,238.66,0
336,20,0.09,317.41,1
337,27,0.391,47.7,0
338,47,0.391,39.58,0
339,48,0.238,104.12,0
340,15,0.3,45.18,0
341,44,0.004,461.55,1
342,49,0.148,390.23,1
343,42,0.208,476.83,1
344,48,0.438,394.07,1
345,59,0.254,318.14,1
346,13,0.004,321.68,1
347,47,0.399,235.58,0
348,34,0.147,139.99,0
349,53,0.145,493.42,1
350,57,0.034,443.0,1
351,35,0.034,387.58,1
352,41,0.184,340.61,1
353,20,0.279,182.92,0
354,9,0.324,88.06,0
355,45,0.333,393.53,1
356,6,0.224,489.26,1
357,30,0.463,425.43,1
358,14,0.368,239.69,0
359,19,0.286,469.88,1
360,54,0.207,459.33,1
361,6,0.011,415.96,1
362,45,0.226,253.64,0
363,22,0.093,152.08,0
364,52,0.059,227.32,0
365,33,0.34,464.66,1
366,46,0.068,76.74,0
367,58,0.024,344.74,1
368,31,0.084,493.44,1
369,31,0.102,342.0,1
370,54,0.383,394.56,1
371,51,0.336,471.22,1
372,21,0.188,409.18,1
373,58,0.386,44.39,0
374,16,0.326,84.0,0
375,59,0.342,107.85,0
376,37,0.498,76.36,0
377,1,0.068,82.01,0
378,28,0.148,496.31,1
379,22,0.391,496.94,1
380,41,0.065,423.66,1
381,58,0.426,287.46,1
382,55,0.408,363.36,1
383,45,0.143,446.04,1
384,10,0.46,383.14,1
385,57,0.072,135.31,0
386,35,0.202,473.47,1
387,42,0.025,10.57,0
388,31,0.278,429.25,1
389,35,0.203,52.43,0
390,13,0.488,113.43,0
391,38,0.188,356.87,1
392,34,0.37,215.16,0
393,43,0.252,305.08,1
394,55,0.431,346.53,1
395,45,0.057,355.84,1
396,55,0.229,432.12,1
397,31,0.173,271.04,0
398,42,0.293,185.48,0
399,54,0.312,72.32,0
400,32,0.213,297.49,1
401,8,0.393,169.77,0
402,5,0.043,136.74,0
403,52,0.002,143.49,0
404,16,0.455,148.2,0
405,32,0.191,481.58,1
406,21,0.285,235.56,0
407,33,0.199,414.12,1
408,26,0.171,429.76,1
409,1,0.416,374.26,1
410,22,0.022,246.79,0
411,25,0.471,309.77,1
412,6,0.054,104.92,0
413,2,0.478,434.21,1
414,41,0.452,18.46,0
415,56,0.29,268.88,1
416,34,0.277,254.57,0
417,32,0.271,378.43,1
418,5,0.396,50.66,0
419,6,0.041,72.88,0
420,56,0.195,281.31,1
421,46,0.221,325.63,1
422,40,0.032,257.08,0
423,44,0.441,262.74,0
424,16,0.467,40.34,0
425,32,0.346,28.69,0
426,24,0.131,307.51,1
427,37,0.013,307.79,1
428,18,0.298,310.54,1
429,33,0.095,196.5,0
430,12,0.228,103.85,0
431,56,0.156,441.11,1
432,45,0.11,385.53,1
433,4,0.101,246.89,0
434,29,0.334,329.3,1
435,58,0.428,206.95,0
436,12,0.044,356.89,1
437,46,0.492,304.16,1
438,49,0.345,71.11,0
439,50,0.222,193.35,0
440,2,0.148,328.85,1
441,4,0.356,209.82,0
442,56,0.097,340.58,1
443,52,0.263,420.27,1
444,17,0.069,418.77,1
445,40,0.081,419.87,1
446,54,0.253,434.75,1
447,13,0.3,97.42,0
448,41,0.181,342.6,1
449,11,0.436,473.87,1
450,12,0.057,415.43,1
451,25,0.234,273.77,0
452,4,0.029,11.08,0
453,29,0.306,24.4,0
454,38,0.101,154.8,0
455,39,0.198,213.32,0
456,54,0.243,152.14,0
457,24,0.427,207.66,0
458,38,0.077,446.93,1
459,45,0.114,119.34,0
460,48,0.346,170.4,0
461,9,0.282,303.25,0
462,20,0.345,117.73,0
463,5,0.217,51.23,0
464,38,0.202,180.67,0
465,4,0.411,191.78,0
466,57,0.109,421.7,1
467,7,0.225,487.43,1
468,1,0.303,377.13,1
469,57,0.149,120.6,0
470,51,0.29,245.31,0
471,52,0.102,96.72,0
472,24,0.034,347.57,1
473,55,0.037,283.12,1
474,52,0.425,253.6,0
475,48,0.483,144.7,0
476,57,0.292,57.83,0
477,5,0.359,177.65,0
478,50,0.024,122.22,0
479,11,0.439,257.17,0
480,15,0.327,289.67,0
481,36,0.208,43.03,0
482,23,0.231,316.3,1
483,23,0.14,121.16,0
484,8,0.41,402.96,1
485,38,0.407,51.85,0
486,48,0.073,420.86,1
487,6,0.33,139.32,0
488,10,0.333,222.77,0
489,50,0.417,50.34,0
490,21,0.198,146.76,0
491,18,0.13,331.94,1
492,9,0.03,420.46,1
493,52,0.06,416.03,1
494,44,0.1,423.6,1
495,30,0.011,485.8,1
496,22,0.371,378.63,1
497,35,0.203,435.51,1
498,10,0.2,22.79,0
499,32,0.179,105.75,0
500,35,0.413,76.3,0
